anio,jur_desc,fin_desc,fun_desc,inciso_desc,ppal_desc,eco_desc,ff_desc,presupuesto
2013,"PODER JUDICIAL - ADMINISTRACION DE JUSTICIA -","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","BIENES DE CONSUMO","PRODUCTOS DE CUERO Y CAUCHO","BIENES DE CONSUMO","RENTAS GENERALES",70754
2013,"PODER JUDICIAL - ADMINISTRACION DE JUSTICIA -","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","BIENES DE CONSUMO","PRODUCTOS QUIMICOS Y MEDICINALES","BIENES DE CONSUMO","RENTAS GENERALES",628404
2013,"PODER JUDICIAL - ADMINISTRACION DE JUSTICIA -","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","BIENES DE CONSUMO","PRODUCTOS QUIMICOS Y MEDICINALES","BIENES DE CONSUMO","RECURSOS CON AFECTACION ESPECIFICA",1600000
2013,"PODER JUDICIAL - ADMINISTRACION DE JUSTICIA -","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","BIENES DE CONSUMO","PRODUCTOS METALICOS","BIENES DE CONSUMO","RENTAS GENERALES",617704
2013,"PODER JUDICIAL - ADMINISTRACION DE JUSTICIA -","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","BIENES DE CONSUMO","PRODUCTOS DE LA MINERIA, PETROLEO Y SUS DERIVADOS","BIENES DE CONSUMO","RENTAS GENERALES",2246204
2013,"PODER JUDICIAL - ADMINISTRACION DE JUSTICIA -","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","BIENES DE CONSUMO","OTROS BIENES DE CONSUMO","BIENES DE CONSUMO","RENTAS GENERALES",10979303
2013,"PODER JUDICIAL - ADMINISTRACION DE JUSTICIA -","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","BIENES DE CONSUMO","OTROS BIENES DE CONSUMO","BIENES DE CONSUMO","RECURSOS CON AFECTACION ESPECIFICA",115000
2013,"PODER JUDICIAL - ADMINISTRACION DE JUSTICIA -","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","SERVICIOS NO PERSONALES","SERVICIOS BASICOS","SERVICIOS NO PERSONALES","RENTAS GENERALES",32030262
2013,"PODER JUDICIAL - ADMINISTRACION DE JUSTICIA -","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","SERVICIOS NO PERSONALES","ALQUILERES Y DERECHOS","SERVICIOS NO PERSONALES","RENTAS GENERALES",35665713
2013,"PODER JUDICIAL - ADMINISTRACION DE JUSTICIA -","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","SERVICIOS NO PERSONALES","ALQUILERES Y DERECHOS","SERVICIOS NO PERSONALES","RECURSOS CON AFECTACION ESPECIFICA",2012000
2013,"PODER JUDICIAL - ADMINISTRACION DE JUSTICIA -","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","SERVICIOS NO PERSONALES","ALQUILERES Y DERECHOS","DERECHOS SOBRE BIENES INTANGIBLES","RENTAS GENERALES",61399
2013,"PODER JUDICIAL - ADMINISTRACION DE JUSTICIA -","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","SERVICIOS NO PERSONALES","ALQUILERES Y DERECHOS","DERECHOS SOBRE BIENES INTANGIBLES","RECURSOS CON AFECTACION ESPECIFICA",250000
2013,"PODER JUDICIAL - ADMINISTRACION DE JUSTICIA -","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","SERVICIOS NO PERSONALES","MANTENIMIENTO, REPARACION Y LIMPIEZA","SERVICIOS NO PERSONALES","RENTAS GENERALES",34161915
2013,"PODER JUDICIAL - ADMINISTRACION DE JUSTICIA -","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","SERVICIOS NO PERSONALES","MANTENIMIENTO, REPARACION Y LIMPIEZA","SERVICIOS NO PERSONALES","RECURSOS CON AFECTACION ESPECIFICA",360000
2013,"PODER JUDICIAL - ADMINISTRACION DE JUSTICIA -","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","SERVICIOS NO PERSONALES","SERVICIOS TECNICOS Y PROFESIONALES","SERVICIOS NO PERSONALES","RENTAS GENERALES",8275082
2013,"PODER JUDICIAL - ADMINISTRACION DE JUSTICIA -","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","SERVICIOS NO PERSONALES","SERVICIOS COMERCIALES Y FINANCIEROS","SERVICIOS NO PERSONALES","RENTAS GENERALES",9733544
2013,"PODER JUDICIAL - ADMINISTRACION DE JUSTICIA -","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","SERVICIOS NO PERSONALES","SERVICIOS COMERCIALES Y FINANCIEROS","SERVICIOS NO PERSONALES","RECURSOS CON AFECTACION ESPECIFICA",750000
2013,"PODER JUDICIAL - ADMINISTRACION DE JUSTICIA -","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","SERVICIOS NO PERSONALES","PUBLICIDAD Y PROPAGANDA","SERVICIOS NO PERSONALES","RENTAS GENERALES",4272374
2013,"PODER JUDICIAL - ADMINISTRACION DE JUSTICIA -","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","SERVICIOS NO PERSONALES","PASAJES,  VIATICOS Y COMPENSACIONES","SERVICIOS NO PERSONALES","RENTAS GENERALES",15842307
2013,"PODER JUDICIAL - ADMINISTRACION DE JUSTICIA -","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","SERVICIOS NO PERSONALES","IMPUESTOS, DERECHOS Y TASAS","SERVICIOS NO PERSONALES","RENTAS GENERALES",76197
2013,"PODER JUDICIAL - ADMINISTRACION DE JUSTICIA -","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","SERVICIOS NO PERSONALES","IMPUESTOS, DERECHOS Y TASAS","IMPUESTOS","RENTAS GENERALES",1023
2013,"PODER JUDICIAL - ADMINISTRACION DE JUSTICIA -","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","SERVICIOS NO PERSONALES","OTROS SERVICIOS","SERVICIOS NO PERSONALES","RENTAS GENERALES",198316284
2013,"PODER JUDICIAL - ADMINISTRACION DE JUSTICIA -","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","BIENES DE USO","BIENES PREEXISTENTES","EDIFICIOS E INSTALACIONES","RENTAS GENERALES",72350000
2013,"PODER JUDICIAL - ADMINISTRACION DE JUSTICIA -","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","BIENES DE USO","BIENES PREEXISTENTES","EDIFICIOS E INSTALACIONES","RECURSOS CON AFECTACION ESPECIFICA",72000
2013,"PODER JUDICIAL - ADMINISTRACION DE JUSTICIA -","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","BIENES DE USO","BIENES PREEXISTENTES","TIERRAS Y TERRENOS","RENTAS GENERALES",27072000
2013,"PODER JUDICIAL - ADMINISTRACION DE JUSTICIA -","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","BIENES DE USO","CONSTRUCCIONES","CONSTRUCCIONES DEL DOMINIO PRIVADO","RENTAS GENERALES",90122800
2013,"PODER JUDICIAL - ADMINISTRACION DE JUSTICIA -","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","BIENES DE USO","MAQUINARIA, EQUIPO Y SOFT.","MAQUINARIA Y EQUIPO","RENTAS GENERALES",35894400
2013,"PODER JUDICIAL - ADMINISTRACION DE JUSTICIA -","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","BIENES DE USO","MAQUINARIA, EQUIPO Y SOFT.","MAQUINARIA Y EQUIPO","RECURSOS CON AFECTACION ESPECIFICA",3529000
2013,"PODER JUDICIAL - ADMINISTRACION DE JUSTICIA -","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","BIENES DE USO","EQUIPO DE SEGURIDAD.","MAQUINARIA Y EQUIPO","RENTAS GENERALES",6300
2013,"PODER JUDICIAL - ADMINISTRACION DE JUSTICIA -","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","BIENES DE USO","LIBROS, REVISTAS Y OTROS ELEMENTOS COLECCIONABLES","MAQUINARIA Y EQUIPO","RENTAS GENERALES",50000
2013,"PODER JUDICIAL - ADMINISTRACION DE JUSTICIA -","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","BIENES DE USO","LIBROS, REVISTAS Y OTROS ELEMENTOS COLECCIONABLES","MAQUINARIA Y EQUIPO","RECURSOS CON AFECTACION ESPECIFICA",2434000
2013,"PODER JUDICIAL - ADMINISTRACION DE JUSTICIA -","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","BIENES DE USO","INSTALACIONES","EDIFICIOS E INSTALACIONES","RENTAS GENERALES",9110000
2013,"PODER JUDICIAL - ADMINISTRACION DE JUSTICIA -","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","BIENES DE USO","INSTALACIONES","EDIFICIOS E INSTALACIONES","RECURSOS CON AFECTACION ESPECIFICA",150000
2013,"PODER JUDICIAL - ADMINISTRACION DE JUSTICIA -","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","TRANSFERENCIAS","TRANSFERENCIAS AL SECTOR PRIVADO PARA FINAN. GTOS. CTES.","A UNIDADES FAMILIARES","RECURSOS CON AFECTACION ESPECIFICA",19050000
2013,"PODER JUDICIAL - MINISTERIO PUBLICO -","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","GASTOS EN PERSONAL","PERSONAL PERMANENTE","SUELDOS Y SALARIOS","RENTAS GENERALES",1492000000
2013,"PODER JUDICIAL - MINISTERIO PUBLICO -","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","GASTOS EN PERSONAL","PERSONAL TEMPORARIO","SUELDOS Y SALARIOS","RENTAS GENERALES",28000000
2013,"PODER JUDICIAL - MINISTERIO PUBLICO -","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","GASTOS EN PERSONAL","ASIGNACIONES FAMILIARES","PRESTACIONES SOCIALES","RENTAS GENERALES",7350000
2013,"PODER JUDICIAL - MINISTERIO PUBLICO -","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","GASTOS EN PERSONAL","ASISTENCIA SOCIAL AL PERSONAL","PRESTACIONES SOCIALES","RENTAS GENERALES",12650000
2013,"PODER JUDICIAL - MINISTERIO PUBLICO -","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","GASTOS EN PERSONAL","BENEFICIOS Y COMPENSACIONES","BENEFICIOS Y COMPENSACIONES","RENTAS GENERALES",10000000
2013,"PODER JUDICIAL - MINISTERIO PUBLICO -","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","BIENES DE CONSUMO","PRODUCTOS ALIMENTICIOS, AGROPECUARIOS Y FORESTALES","BIENES DE CONSUMO","RENTAS GENERALES",390392
2013,"PODER JUDICIAL - MINISTERIO PUBLICO -","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","BIENES DE CONSUMO","TEXTILES Y VESTUARIOS","BIENES DE CONSUMO","RENTAS GENERALES",139433
2013,"PODER JUDICIAL - MINISTERIO PUBLICO -","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","BIENES DE CONSUMO","PRODUCTOS DE PAPEL, CARTON E IMPRESOS","BIENES DE CONSUMO","RENTAS GENERALES",2466100
2013,"PODER JUDICIAL - MINISTERIO PUBLICO -","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","BIENES DE CONSUMO","PRODUCTOS DE CUERO Y CAUCHO","BIENES DE CONSUMO","RENTAS GENERALES",31840
2013,"PODER JUDICIAL - MINISTERIO PUBLICO -","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","BIENES DE CONSUMO","PRODUCTOS QUIMICOS Y MEDICINALES","BIENES DE CONSUMO","RENTAS GENERALES",6884840
2013,"PODER JUDICIAL - MINISTERIO PUBLICO -","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","BIENES DE CONSUMO","PRODUCTOS METALICOS","BIENES DE CONSUMO","RENTAS GENERALES",113830
2013,"PODER JUDICIAL - MINISTERIO PUBLICO -","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","BIENES DE CONSUMO","PRODUCTOS DE LA MINERIA, PETROLEO Y SUS DERIVADOS","BIENES DE CONSUMO","RENTAS GENERALES",2414915
2013,"PODER JUDICIAL - MINISTERIO PUBLICO -","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","BIENES DE CONSUMO","OTROS BIENES DE CONSUMO","BIENES DE CONSUMO","RENTAS GENERALES",2862350
2013,"PODER JUDICIAL - MINISTERIO PUBLICO -","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","BIENES DE CONSUMO","OTROS BIENES DE CONSUMO","BIENES DE CONSUMO","RECURSOS CON AFECTACION ESPECIFICA",10100
2013,"PODER JUDICIAL - MINISTERIO PUBLICO -","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","SERVICIOS NO PERSONALES","SERVICIOS BASICOS","SERVICIOS NO PERSONALES","RENTAS GENERALES",22953430
2013,"PODER JUDICIAL - MINISTERIO PUBLICO -","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","SERVICIOS NO PERSONALES","ALQUILERES Y DERECHOS","SERVICIOS NO PERSONALES","RENTAS GENERALES",28504300
2013,"PODER JUDICIAL - MINISTERIO PUBLICO -","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","SERVICIOS NO PERSONALES","ALQUILERES Y DERECHOS","DERECHOS SOBRE BIENES INTANGIBLES","RENTAS GENERALES",280000
2013,"PODER JUDICIAL - MINISTERIO PUBLICO -","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","SERVICIOS NO PERSONALES","MANTENIMIENTO, REPARACION Y LIMPIEZA","SERVICIOS NO PERSONALES","RENTAS GENERALES",34005840
2013,"PODER JUDICIAL - MINISTERIO PUBLICO -","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","SERVICIOS NO PERSONALES","SERVICIOS TECNICOS Y PROFESIONALES","SERVICIOS NO PERSONALES","RENTAS GENERALES",18359750
2013,"PODER JUDICIAL - MINISTERIO PUBLICO -","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","SERVICIOS NO PERSONALES","SERVICIOS TECNICOS Y PROFESIONALES","SERVICIOS NO PERSONALES","RECURSOS CON AFECTACION ESPECIFICA",10000
2013,"PODER JUDICIAL - MINISTERIO PUBLICO -","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","SERVICIOS NO PERSONALES","SERVICIOS COMERCIALES Y FINANCIEROS","SERVICIOS NO PERSONALES","RENTAS GENERALES",7285860
2013,"PODER JUDICIAL - MINISTERIO PUBLICO -","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","SERVICIOS NO PERSONALES","PUBLICIDAD Y PROPAGANDA","SERVICIOS NO PERSONALES","RENTAS GENERALES",283750
2013,"PODER JUDICIAL - MINISTERIO PUBLICO -","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","SERVICIOS NO PERSONALES","PASAJES,  VIATICOS Y COMPENSACIONES","SERVICIOS NO PERSONALES","RENTAS GENERALES",3664870
2013,"PODER JUDICIAL - MINISTERIO PUBLICO -","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","SERVICIOS NO PERSONALES","IMPUESTOS, DERECHOS Y TASAS","SERVICIOS NO PERSONALES","RENTAS GENERALES",32750
2013,"PODER JUDICIAL - MINISTERIO PUBLICO -","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","SERVICIOS NO PERSONALES","IMPUESTOS, DERECHOS Y TASAS","IMPUESTOS","RENTAS GENERALES",1000
2013,"PODER JUDICIAL - MINISTERIO PUBLICO -","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","SERVICIOS NO PERSONALES","OTROS SERVICIOS","SERVICIOS NO PERSONALES","RENTAS GENERALES",159992150
2013,"PODER JUDICIAL - MINISTERIO PUBLICO -","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","BIENES DE USO","BIENES PREEXISTENTES","EDIFICIOS E INSTALACIONES","RENTAS GENERALES",5000000
2013,"PODER JUDICIAL - MINISTERIO PUBLICO -","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","BIENES DE USO","CONSTRUCCIONES","CONSTRUCCIONES DEL DOMINIO PRIVADO","RENTAS GENERALES",120028000
2013,"PODER JUDICIAL - MINISTERIO PUBLICO -","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","BIENES DE USO","MAQUINARIA, EQUIPO Y SOFT.","MAQUINARIA Y EQUIPO","RENTAS GENERALES",28023892
2013,"PODER JUDICIAL - MINISTERIO PUBLICO -","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","BIENES DE USO","MAQUINARIA, EQUIPO Y SOFT.","MAQUINARIA Y EQUIPO","RECURSOS CON AFECTACION ESPECIFICA",39900
2013,"PODER JUDICIAL - MINISTERIO PUBLICO -","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","BIENES DE USO","EQUIPO DE SEGURIDAD.","MAQUINARIA Y EQUIPO","RENTAS GENERALES",94690
2013,"PODER JUDICIAL - MINISTERIO PUBLICO -","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","BIENES DE USO","LIBROS, REVISTAS Y OTROS ELEMENTOS COLECCIONABLES","MAQUINARIA Y EQUIPO","RENTAS GENERALES",55798
2013,"PODER JUDICIAL - MINISTERIO PUBLICO -","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","BIENES DE USO","INSTALACIONES","EDIFICIOS E INSTALACIONES","RENTAS GENERALES",4493620
2013,"PODER JUDICIAL - MINISTERIO PUBLICO -","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","TRANSFERENCIAS","TRANSFERENCIAS AL SECTOR PRIVADO PARA FINAN. GTOS. CTES.","A UNIDADES FAMILIARES","RENTAS GENERALES",6924000
2013,"PODER JUDICIAL - MINISTERIO PUBLICO -","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","TRANSFERENCIAS","TRANSFERENCIAS AL SECTOR PRIVADO PARA FINAN. GTOS. CTES.","A UNIDADES FAMILIARES","RECURSOS CON AFECTACION ESPECIFICA",1000
2013,"FISCALIA DE ESTADO","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","GASTOS EN PERSONAL","PERSONAL PERMANENTE","SUELDOS Y SALARIOS","RENTAS GENERALES",136026860
2013,"FISCALIA DE ESTADO","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","GASTOS EN PERSONAL","PERSONAL TEMPORARIO","SUELDOS Y SALARIOS","RENTAS GENERALES",1880240
2013,"FISCALIA DE ESTADO","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","GASTOS EN PERSONAL","ASIGNACIONES FAMILIARES","PRESTACIONES SOCIALES","RENTAS GENERALES",414760
2013,"FISCALIA DE ESTADO","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","GASTOS EN PERSONAL","SERVICIOS EXTRAORDINARIOS","SUELDOS Y SALARIOS","RENTAS GENERALES",1246530
2013,"FISCALIA DE ESTADO","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","GASTOS EN PERSONAL","ASISTENCIA SOCIAL AL PERSONAL","PRESTACIONES SOCIALES","RENTAS GENERALES",69100
2013,"FISCALIA DE ESTADO","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","BIENES DE CONSUMO","PRODUCTOS ALIMENTICIOS, AGROPECUARIOS Y FORESTALES","BIENES DE CONSUMO","RENTAS GENERALES",138400
2013,"FISCALIA DE ESTADO","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","BIENES DE CONSUMO","TEXTILES Y VESTUARIOS","BIENES DE CONSUMO","RENTAS GENERALES",142000
2013,"FISCALIA DE ESTADO","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","BIENES DE CONSUMO","PRODUCTOS DE PAPEL, CARTON E IMPRESOS","BIENES DE CONSUMO","RENTAS GENERALES",93700
2013,"FISCALIA DE ESTADO","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","BIENES DE CONSUMO","PRODUCTOS DE CUERO Y CAUCHO","BIENES DE CONSUMO","RENTAS GENERALES",18000
2013,"FISCALIA DE ESTADO","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","BIENES DE CONSUMO","PRODUCTOS QUIMICOS Y MEDICINALES","BIENES DE CONSUMO","RENTAS GENERALES",88275
2013,"FISCALIA DE ESTADO","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","BIENES DE CONSUMO","PRODUCTOS METALICOS","BIENES DE CONSUMO","RENTAS GENERALES",16100
2013,"FISCALIA DE ESTADO","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","BIENES DE CONSUMO","PRODUCTOS DE LA MINERIA, PETROLEO Y SUS DERIVADOS","BIENES DE CONSUMO","RENTAS GENERALES",253600
2013,"FISCALIA DE ESTADO","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","BIENES DE CONSUMO","OTROS BIENES DE CONSUMO","BIENES DE CONSUMO","RENTAS GENERALES",348545
2013,"FISCALIA DE ESTADO","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","SERVICIOS NO PERSONALES","SERVICIOS BASICOS","SERVICIOS NO PERSONALES","RENTAS GENERALES",1045450
2013,"FISCALIA DE ESTADO","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","SERVICIOS NO PERSONALES","ALQUILERES Y DERECHOS","SERVICIOS NO PERSONALES","RENTAS GENERALES",612900
2013,"FISCALIA DE ESTADO","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","SERVICIOS NO PERSONALES","MANTENIMIENTO, REPARACION Y LIMPIEZA","SERVICIOS NO PERSONALES","RENTAS GENERALES",1348340
2013,"FISCALIA DE ESTADO","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","SERVICIOS NO PERSONALES","SERVICIOS TECNICOS Y PROFESIONALES","SERVICIOS NO PERSONALES","RENTAS GENERALES",948190
2013,"FISCALIA DE ESTADO","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","SERVICIOS NO PERSONALES","SERVICIOS COMERCIALES Y FINANCIEROS","SERVICIOS NO PERSONALES","RENTAS GENERALES",350500
2013,"FISCALIA DE ESTADO","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","SERVICIOS NO PERSONALES","PUBLICIDAD Y PROPAGANDA","SERVICIOS NO PERSONALES","RENTAS GENERALES",23000
2013,"FISCALIA DE ESTADO","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","SERVICIOS NO PERSONALES","PASAJES,  VIATICOS Y COMPENSACIONES","SERVICIOS NO PERSONALES","RENTAS GENERALES",721500
2013,"FISCALIA DE ESTADO","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","SERVICIOS NO PERSONALES","IMPUESTOS, DERECHOS Y TASAS","SERVICIOS NO PERSONALES","RENTAS GENERALES",150000
2013,"FISCALIA DE ESTADO","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","SERVICIOS NO PERSONALES","OTROS SERVICIOS","SERVICIOS NO PERSONALES","RENTAS GENERALES",149100
2013,"FISCALIA DE ESTADO","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","BIENES DE USO","BIENES PREEXISTENTES","EDIFICIOS E INSTALACIONES","RENTAS GENERALES",2000000
2013,"FISCALIA DE ESTADO","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","BIENES DE USO","MAQUINARIA, EQUIPO Y SOFT.","MAQUINARIA Y EQUIPO","RENTAS GENERALES",3328100
2013,"FISCALIA DE ESTADO","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","BIENES DE USO","EQUIPO DE SEGURIDAD.","MAQUINARIA Y EQUIPO","RENTAS GENERALES",5000
2013,"FISCALIA DE ESTADO","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","BIENES DE USO","LIBROS, REVISTAS Y OTROS ELEMENTOS COLECCIONABLES","MAQUINARIA Y EQUIPO","RENTAS GENERALES",59100
2013,"FISCALIA DE ESTADO","ADMINISTRACION GUBERNAMENTAL","JUDICIAL","BIENES DE USO","INSTALACIONES","EDIFICIOS E INSTALACIONES","RENTAS GENERALES",1000
2013,"JUNTA ELECTORAL","ADMINISTRACION GUBERNAMENTAL","DIRECCION SUPERIOR EJECUTIVA","GASTOS EN PERSONAL","PERSONAL PERMANENTE","SUELDOS Y SALARIOS","RENTAS GENERALES",13869500
2013,"JUNTA ELECTORAL","ADMINISTRACION GUBERNAMENTAL","DIRECCION SUPERIOR EJECUTIVA","GASTOS EN PERSONAL","ASIGNACIONES FAMILIARES","PRESTACIONES SOCIALES","RENTAS GENERALES",15400
2013,"JUNTA ELECTORAL","ADMINISTRACION GUBERNAMENTAL","DIRECCION SUPERIOR EJECUTIVA","GASTOS EN PERSONAL","SERVICIOS EXTRAORDINARIOS","SUELDOS Y SALARIOS","RENTAS GENERALES",100
2013,"JUNTA ELECTORAL","ADMINISTRACION GUBERNAMENTAL","DIRECCION SUPERIOR EJECUTIVA","GASTOS EN PERSONAL","ASISTENCIA SOCIAL AL PERSONAL","PRESTACIONES SOCIALES","RENTAS GENERALES",1000
2013,"JUNTA ELECTORAL","ADMINISTRACION GUBERNAMENTAL","DIRECCION SUPERIOR EJECUTIVA","GASTOS EN PERSONAL","BENEFICIOS Y COMPENSACIONES","BENEFICIOS Y COMPENSACIONES","RENTAS GENERALES",1000
